sifa_body_id,partner_body_id,weight,weightHP,partner_type,partner_instance,partner_hemibrainType,partner_class,partner_subclass,partner_superclass,partner_somaSide,partner_rootSide,direction,dataset,group,side
10342,165623,1,1,vDeltaK,vDeltaK_C7,vDeltaK,CX,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,unknown
10342,166119,1,1,KCab-s,KCab-s_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,166950,2,2,ORN_DC2,ORN_DC2_L,ORN_DC2,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,167427,2,2,CB4134,CB4134_R,,,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,167513,1,1,ORN_VC2,ORN_VC2_L,ORN_VC2,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,169061,1,1,vDeltaM,vDeltaM_C7,vDeltaM,CX,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,unknown
10342,170403,2,1,ORN_DM1,ORN_DM1_R,ORN_DM1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,171116,3,3,Cm7,Cm7_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,172424,2,1,CB1456,CB1456_R,"SMP097,SMP098_b",,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,173751,1,1,ORN_DM1,ORN_DM1_L,ORN_DM1,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,175711,1,1,,,,,,,,,target_to_SIFa,male-cns:v1.0,other,unknown
10342,176116,1,1,Dm10,Dm10_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,178945,1,1,PAM10,PAM10(B1)_R,PAM10,DAN,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,DAN,R
10342,179108,1,1,ORN_DM1,ORN_DM1_R,ORN_DM1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,180999,1,1,PRW006,PRW006_L,,,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,183425,1,1,ORN_DM1,ORN_DM1_R,ORN_DM1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,185022,1,1,T5b,T5b_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,186380,3,1,DNge144,DNge144_L,,,xl,descending_neuron,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,190344,1,1,Mi15,Mi15_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,190416,1,1,FS3_d,FS3_C9_L,FS3,CX,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,191345,1,1,CB1456,CB1456_L,"SMP097,SMP098_b",,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,191633,2,1,Mi15,Mi15_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,192450,1,1,JO-CM,JO-CM_L,,mechanosensory,wind_gravity,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,195397,1,1,KCab-m,KCab-m_L,"KCab-m,KCab-c,KCab-s",Kenyon_Cell,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,KC_alpha_beta,L
10342,195752,1,1,ORN_DA1,ORN_DA1_R,ORN_DA1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,198031,3,3,PFNp_d,PFNp_d,PFNp_d,CX,,cb_intrinsic,R,,target_to_SIFa,male-cns:v1.0,other,unknown
10342,198844,1,1,PFNp_b,PFNp_b,PFNp_b,CX,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,unknown
10342,200438,1,1,MeLo9,MeLo9_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,202010,1,1,ORN_VA6,ORN_VA6_R,ORN_VA6,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,205223,3,3,ORN_VC5,ORN_VC5_L,ORN_VC3m,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,211754,1,1,ORN_DM6,ORN_DM6_R,ORN_DM6,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,212356,4,2,Mi15,Mi15_L,,,,ol_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,215822,1,1,ORN_VA7m,ORN_VA7m_unknown,ORN_VA7m,olfactory,,cb_sensory,,unknown,target_to_SIFa,male-cns:v1.0,other,unknown
10342,216620,1,1,ORN_DC1,ORN_DC1_L,ORN_DC1,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,220227,1,1,ORN_D,ORN_D_L,ORN_D,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,221015,1,1,ANXXX008,ANXXX008_L,,,BA,ascending_neuron,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,222777,2,1,AN09A005,AN09A005_R,,,BI,ascending_neuron,R,,target_to_SIFa,male-cns:v1.0,other,R
10342,222974,1,1,ORN_DM1,ORN_DM1_L,ORN_DM1,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,229739,1,1,ORN_DC2,ORN_DC2_L,ORN_DC2,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,232170,1,1,ORN_DL1,ORN_DL1_R,ORN_DL1,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,237978,1,1,ORN_DM6,ORN_DM6_R,ORN_DM6,olfactory,,cb_sensory,,R,target_to_SIFa,male-cns:v1.0,other,R
10342,242344,1,1,ORN_VA6,ORN_VA6_L,ORN_VA6,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,243579,1,1,ORN_VC3,ORN_VC3_L,ORN_VC3l,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,245458,2,1,SIP078,SIP078_L,SIP078,,,cb_intrinsic,L,,target_to_SIFa,male-cns:v1.0,other,L
10342,246941,1,1,ORN_VC3,ORN_VC3_L,ORN_VC3l,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,261100,2,2,HRN_VP4,HRN_VP4_L,HRN_VP4,hygrosensory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,268615,1,1,,,,,,,,,target_to_SIFa,male-cns:v1.0,other,unknown
10342,279476,1,1,ORN_DM1,ORN_DM1_L,ORN_DM1,olfactory,,cb_sensory,,L,target_to_SIFa,male-cns:v1.0,other,L
10342,280052,3,3,AN27X024,AN27X024_L,,,BA,ascending_neuron,L,,target_to_SIFa,male-cns:v1.0,other,L
